ID_,N_PATIO,N_REGISTRO,NOM_COMUN,NOM_CIENTIFICO,ESPECIE,OPERADOR,Latitudes,Longitudes,PROPIEDAD,Status,DAP_CM,ALTURA_M,RADIO_M,TIPO_PODA,TRATAMIENTO,OBSERVACIONES
,1,98,CIPRES MEDITERRANEO,,INTRODUCIDA,BRYAN,-33.41683900,-70.651821,CEMENTERIO,BUENO,,,,,,
,1,99,AISLANTUS,,INTRODUCIDA,BRYAN,-33.41671700,-70.652164,SEPULTURA,BUENO,,,,,,
,1,100,CELTIS,,INTRODUCIDA,MARIA,-33.41692900,-70.652158,CEMENTERIO,BUENO,,,,,,
,1,101,FALSA ACACIA,,INTRODUCIDA,MARIA,-33.41695100,-70.652004,SEPULTURA,REGULAR,,,,,,
,1,102,NARANJO,,INTRODUCIDA,MARIA,-33.41696800,-70.651992,CEMENTERIO,REGULAR,,,,,,
,1,103,NARANJO,,INTRODUCIDA,MARIA,-33.41697900,-70.651959,CEMENTERIO,BUENO,,,,,,
,1,104,FALSA ACACIA,,INTRODUCIDA,MARIA,-33.41696000,-70.651884,SEPULTURA,REGULAR,,,,,,
,1,105,PALO VERDE,,INTRODUCIDA,MARIA,-33.41694600,-70.651901,CEMENTERIO,BUENO,,,,,,
,1,106,CELTIS,,INTRODUCIDA,MARIA,-33.41698100,-70.651793,SEPULTURA,BUENO,,,,,,
,1,107,CIRUELO,,INTRODUCIDA,MARIA,-33.41693700,-70.651749,SEPULTURA,MALO,,,,,,
,1,108,AISLANTUS,,INTRODUCIDA,MARIA,-33.41693700,-70.651859,SEPULTURA,REGULAR,,,,,,
,1,109,AISLANTUS,,INTRODUCIDA,MARIA,-33.41692000,-70.651862,SEPULTURA,REGULAR,,,,,,
,1,110,LIGUSTRO,,INTRODUCIDA,MARIA,-33.41691800,-70.651851,SEPULTURA,BUENO,,,,,,
,1,111,CIRUELO,,INTRODUCIDA,MARIA,-33.41693700,-70.651841,SEPULTURA,BUENO,,,,,,
,1,112,PALMERA CANARIA,,INTRODUCIDA,MARIA,-33.41691800,-70.651840,SEPULTURA,BUENO,,,,,,
,1,113,PALMERA CANARIA,,INTRODUCIDA,MARIA,-33.41692000,-70.651831,SEPULTURA,BUENO,,,,,,
,1,114,AISLANTUS,,INTRODUCIDA,MARIA,-33.41689200,-70.651844,SEPULTURA,BUENO,,,,,,
,1,115,AISLANTUS,,INTRODUCIDA,MARIA,-33.41688200,-70.651840,SEPULTURA,BUENO,,,,,,
,1,116,CELTIS,,INTRODUCIDA,MARIA,-33.41686500,-70.651780,SEPULTURA,BUENO,,,,,,
,1,117,AISLANTUS,,INTRODUCIDA,MARIA,-33.41690300,-70.651763,SEPULTURA,BUENO,,,,,,
,1,118,CELTIS,,INTRODUCIDA,MARIA,-33.41690900,-70.651781,SEPULTURA,BUENO,,,,,,
,1,119,AISLANTUS,,INTRODUCIDA,MARIA,-33.41691500,-70.651846,SEPULTURA,BUENO,,,,,,
,1,120,CIRUELO,,INTRODUCIDA,MARIA,-33.41689800,-70.651803,SEPULTURA,BUENO,,,,,,
